"employee_id","employee_name","department","record_date","output_units","task_status"
"NV010","Đặng Thu Nga","Chăm Sóc Khách Hàng","2026-08-01","120","Completed"
"NV010","Đặng Thu Nga","Chăm Sóc Khách Hàng","2026-08-07","135","Completed"
"NV010","Đặng Thu Nga","Chăm Sóc Khách Hàng","2026-08-14","110","Delayed"
"NV010","Đặng Thu Nga","Chăm Sóc Khách Hàng","2026-08-21","140","Completed"
"NV010","Đặng Thu Nga","Chăm Sóc Khách Hàng","2026-08-28","95","In Progress"
"NV011","Trịnh Phương Oanh","Chăm Sóc Khách Hàng","2026-08-03","115","Completed"
"NV011","Trịnh Phương Oanh","Chăm Sóc Khách Hàng","2026-08-10","125","Completed"
"NV011","Trịnh Phương Oanh","Chăm Sóc Khách Hàng","2026-08-17","105","Delayed"
"NV011","Trịnh Phương Oanh","Chăm Sóc Khách Hàng","2026-08-24","130","Completed"
"NV012","Vũ Đức Phúc","Chăm Sóc Khách Hàng","2026-08-05","100","Completed"
"NV012","Vũ Đức Phúc","Chăm Sóc Khách Hàng","2026-08-12","110","Completed"
"NV012","Vũ Đức Phúc","Chăm Sóc Khách Hàng","2026-08-19","105","Delayed"
"NV012","Vũ Đức Phúc","Chăm Sóc Khách Hàng","2026-08-26","115","Completed"
