"Employee_ID","Employee_Name","Manager","Department","Base_Salary","Bonus","Penalty","Net_Payout","Month"
"E003","Employee_3","Manager_B","Finance","27513767","3095567","992499","29616835","2026-03"
"E005","Employee_5","Manager_D","Finance","18288560","2108926","483473","19914013","2026-03"
"E010","Employee_10","Manager_B","Finance","9527253","457397","1160477","8824173","2026-03"
"E012","Employee_12","Manager_A","Finance","23750347","4015745","923730","26842362","2026-03"
"E018","Employee_18","Manager_D","Finance","27747626","3597285","640428","30704483","2026-03"
"E022","Employee_22","Manager_D","Finance","9095211","1941763","604199","10432775","2026-03"
"E030","Employee_30","Manager_D","Finance","28257268","2100238","54242","30303264","2026-03"
"E032","Employee_32","Manager_A","Finance","27335640","337487","1600355","26072772","2026-03"
"E036","Employee_36","Manager_C","Finance","11509789","1349096","691648","12167237","2026-03"
"E052","Employee_52","Manager_C","Finance","26519275","4558621","791066","30286830","2026-03"
"E053","Employee_53","Manager_D","Finance","14330123","2003246","1199146","15134223","2026-03"
"E064","Employee_64","Manager_B","Finance","8971308","385800","680262","8676846","2026-03"
"E065","Employee_65","Manager_A","Finance","20028033","3144394","903215","22269212","2026-03"
"E075","Employee_75","Manager_C","Finance","8736170","3320259","575627","11480802","2026-03"
"E078","Employee_78","Manager_B","Finance","12589549","815070","1894574","11510045","2026-03"
"E079","Employee_79","Manager_A","Finance","22791571","279881","1215454","21855998","2026-03"
"E082","Employee_82","Manager_C","Finance","13521194","2155621","1916899","13759916","2026-03"
"E083","Employee_83","Manager_D","Finance","19365397","966113","982162","19349348","2026-03"
"E087","Employee_87","Manager_D","Finance","11635491","1961440","988758","12608173","2026-03"
"E088","Employee_88","Manager_A","Finance","28470961","1856962","1358225","28969698","2026-03"
"E096","Employee_96","Manager_B","Finance","11333787","3081428","1141827","13273388","2026-03"
"E102","Employee_102","Manager_A","Finance","12854922","1090453","1132913","12812462","2026-03"
"E104","Employee_104","Manager_A","Finance","15983659","4939656","678997","20244318","2026-03"
"E108","Employee_108","Manager_A","Finance","23369356","261310","127560","23503106","2026-03"
"E116","Employee_116","Manager_A","Finance","22319823","2621637","1394832","23546628","2026-03"
"E117","Employee_117","Manager_C","Finance","13121712","3978447","140788","16959371","2026-03"
"E123","Employee_123","Manager_A","Finance","26665172","3083325","240931","29507566","2026-03"
"E125","Employee_125","Manager_A","Finance","8971507","1513439","573089","9911857","2026-03"
"E126","Employee_126","Manager_C","Finance","19778391","51219","380435","19449175","2026-03"
"E130","Employee_130","Manager_C","Finance","27045279","712671","1852502","25905448","2026-03"
"E132","Employee_132","Manager_A","Finance","22868404","3556893","1018506","25406791","2026-03"
"E134","Employee_134","Manager_A","Finance","22425507","930210","594010","22761707","2026-03"
"E135","Employee_135","Manager_D","Finance","9523953","1849842","828927","10544868","2026-03"
"E144","Employee_144","Manager_D","Finance","10957148","3663403","1771012","12849539","2026-03"
"E152","Employee_152","Manager_D","Finance","29045923","2651965","316580","31381308","2026-03"
"E154","Employee_154","Manager_C","Finance","27844754","471205","738076","27577883","2026-03"
"E155","Employee_155","Manager_A","Finance","23493506","3790928","78868","27205566","2026-03"
"E156","Employee_156","Manager_A","Finance","17632706","643666","1351963","16924409","2026-03"
"E162","Employee_162","Manager_B","Finance","20510836","2373083","812471","22071448","2026-03"
"E163","Employee_163","Manager_D","Finance","28061720","439273","1655128","26845865","2026-03"
"E165","Employee_165","Manager_D","Finance","16455575","1261422","699110","17017887","2026-03"
"E168","Employee_168","Manager_D","Finance","12288047","4415707","195985","16507769","2026-03"
"E169","Employee_169","Manager_D","Finance","8611715","3041689","647739","11005665","2026-03"
"E178","Employee_178","Manager_D","Finance","20813512","4218687","1106163","23926036","2026-03"
"E184","Employee_184","Manager_D","Finance","8894903","3480407","111687","12263623","2026-03"
"E185","Employee_185","Manager_D","Finance","15911399","3239396","171139","18979656","2026-03"
"E187","Employee_187","Manager_A","Finance","12900601","1154269","80327","13974543","2026-03"
"E194","Employee_194","Manager_A","Finance","16071996","4787074","873605","19985465","2026-03"
"E197","Employee_197","Manager_D","Finance","16511090","136249","748880","15898459","2026-03"
"E198","Employee_198","Manager_A","Finance","16090843","869595","1617955","15342483","2026-03"
