"Employee_ID","Employee_Name","Manager","Department","Base_Salary","Bonus","Penalty","Net_Payout","Month"
"E006","Employee_6","Manager_A","HR","18588032","1002897","1557934","18032995","2026-03"
"E007","Employee_7","Manager_B","HR","15260663","4061752","579861","18742554","2026-03"
"E009","Employee_9","Manager_C","HR","18142417","118685","1484822","16776280","2026-03"
"E011","Employee_11","Manager_C","HR","29403353","4117788","215141","33306000","2026-03"
"E013","Employee_13","Manager_C","HR","9723916","2117942","1973553","9868305","2026-03"
"E017","Employee_17","Manager_D","HR","25534624","3190842","944797","27780669","2026-03"
"E020","Employee_20","Manager_A","HR","16048539","1458053","1157611","16348981","2026-03"
"E021","Employee_21","Manager_A","HR","8089782","3426893","944774","10571901","2026-03"
"E024","Employee_24","Manager_C","HR","22265296","962813","1142030","22086079","2026-03"
"E025","Employee_25","Manager_B","HR","16913146","1193164","149757","17956553","2026-03"
"E026","Employee_26","Manager_A","HR","18321739","4991591","1570678","21742652","2026-03"
"E031","Employee_31","Manager_A","HR","27300479","4925144","1993943","30231680","2026-03"
"E034","Employee_34","Manager_C","HR","27640403","3656468","1331240","29965631","2026-03"
"E042","Employee_42","Manager_A","HR","16960920","4607188","274754","21293354","2026-03"
"E044","Employee_44","Manager_B","HR","18427044","4620772","28677","23019139","2026-03"
"E046","Employee_46","Manager_A","HR","24722706","2448312","1067181","26103837","2026-03"
"E048","Employee_48","Manager_D","HR","20871010","1598955","1933297","20536668","2026-03"
"E051","Employee_51","Manager_D","HR","22983644","4517941","1015737","26485848","2026-03"
"E054","Employee_54","Manager_D","HR","21783325","366140","667264","21482201","2026-03"
"E056","Employee_56","Manager_A","HR","24854094","4950792","696243","29108643","2026-03"
"E062","Employee_62","Manager_A","HR","29178249","2410709","477073","31111885","2026-03"
"E066","Employee_66","Manager_B","HR","25822984","3456540","1186837","28092687","2026-03"
"E067","Employee_67","Manager_B","HR","13874352","662434","1278196","13258590","2026-03"
"E068","Employee_68","Manager_D","HR","24698941","4891876","300139","29290678","2026-03"
"E073","Employee_73","Manager_C","HR","20908163","4053443","223668","24737938","2026-03"
"E077","Employee_77","Manager_C","HR","28369721","2955482","459285","30865918","2026-03"
"E080","Employee_80","Manager_C","HR","11024374","2475565","685179","12814760","2026-03"
"E081","Employee_81","Manager_D","HR","14737555","1108636","1649436","14196755","2026-03"
"E084","Employee_84","Manager_A","HR","15570372","3333729","1773654","17130447","2026-03"
"E095","Employee_95","Manager_C","HR","22877467","3730379","1993458","24614388","2026-03"
"E101","Employee_101","Manager_B","HR","19024629","1237774","1653905","18608498","2026-03"
"E103","Employee_103","Manager_C","HR","11688516","216259","276411","11628364","2026-03"
"E105","Employee_105","Manager_A","HR","16904256","439554","265831","17077979","2026-03"
"E119","Employee_119","Manager_C","HR","26668704","503156","1229906","25941954","2026-03"
"E122","Employee_122","Manager_A","HR","13191883","4044897","470275","16766505","2026-03"
"E124","Employee_124","Manager_C","HR","22398623","4705721","1609422","25494922","2026-03"
"E131","Employee_131","Manager_A","HR","13281799","417438","1413414","12285823","2026-03"
"E137","Employee_137","Manager_B","HR","16573811","2428058","688122","18313747","2026-03"
"E145","Employee_145","Manager_A","HR","22618878","4939810","839804","26718884","2026-03"
"E147","Employee_147","Manager_C","HR","10562866","4282244","1327968","13517142","2026-03"
"E148","Employee_148","Manager_A","HR","19723088","2945238","1525424","21142902","2026-03"
"E149","Employee_149","Manager_B","HR","11449547","1228463","536804","12141206","2026-03"
"E150","Employee_150","Manager_B","HR","28213155","1282364","1594287","27901232","2026-03"
"E151","Employee_151","Manager_A","HR","29070464","4144954","972980","32242438","2026-03"
"E159","Employee_159","Manager_D","HR","10076136","3779261","217059","13638338","2026-03"
"E166","Employee_166","Manager_A","HR","19738037","2602412","1375846","20964603","2026-03"
"E167","Employee_167","Manager_D","HR","27966270","710674","649240","28027704","2026-03"
"E170","Employee_170","Manager_B","HR","19466634","4079136","402664","23143106","2026-03"
"E171","Employee_171","Manager_B","HR","13199097","647307","620320","13226084","2026-03"
"E173","Employee_173","Manager_D","HR","13444113","1517045","1743456","13217702","2026-03"
"E176","Employee_176","Manager_D","HR","25918440","2006290","649001","27275729","2026-03"
"E177","Employee_177","Manager_D","HR","20342694","4785024","923999","24203719","2026-03"
"E179","Employee_179","Manager_D","HR","14700743","1160971","1830817","14030897","2026-03"
"E182","Employee_182","Manager_A","HR","17153357","3769162","1898564","19023955","2026-03"
"E186","Employee_186","Manager_C","HR","8945817","2673322","1952083","9667056","2026-03"
"E193","Employee_193","Manager_A","HR","12817639","2443366","900179","14360826","2026-03"
"E199","Employee_199","Manager_C","HR","9487658","2955298","1145073","11297883","2026-03"
"E200","Employee_200","Manager_C","HR","23590157","4014210","1324846","26279521","2026-03"
