"employee_id","employee_name","department","record_date","output_units","task_status"
"NV001","Nguyễn Văn An","Kinh Doanh","2026-08-02","15000000","Completed"
"NV001","Nguyễn Văn An","Kinh Doanh","2026-08-05","22000000","Completed"
"NV001","Nguyễn Văn An","Kinh Doanh","2026-08-12","18000000","Completed"
"NV001","Nguyễn Văn An","Kinh Doanh","2026-08-19","30000000","Completed"
"NV001","Nguyễn Văn An","Kinh Doanh","2026-08-25","12000000","In Progress"
"NV002","Trần Thị Bích","Kinh Doanh","2026-08-03","8000000","Completed"
"NV002","Trần Thị Bích","Kinh Doanh","2026-08-10","14000000","Completed"
"NV002","Trần Thị Bích","Kinh Doanh","2026-08-16","9000000","Delayed"
"NV002","Trần Thị Bích","Kinh Doanh","2026-08-22","11000000","Completed"
"NV003","Lê Hoàng Cường","Kinh Doanh","2026-08-04","25000000","Completed"
"NV003","Lê Hoàng Cường","Kinh Doanh","2026-08-11","28000000","Completed"
"NV003","Lê Hoàng Cường","Kinh Doanh","2026-08-18","35000000","Completed"
"NV003","Lê Hoàng Cường","Kinh Doanh","2026-08-28","40000000","Completed"
