"employee_id","employee_name","department","record_date","output_units","task_status"
"NV004","Phạm Minh Đức","Kỹ Thuật","2026-08-01","8","Completed"
"NV004","Phạm Minh Đức","Kỹ Thuật","2026-08-06","12","Completed"
"NV004","Phạm Minh Đức","Kỹ Thuật","2026-08-14","10","Delayed"
"NV004","Phạm Minh Đức","Kỹ Thuật","2026-08-20","15","Completed"
"NV004","Phạm Minh Đức","Kỹ Thuật","2026-08-27","5","In Progress"
"NV005","Võ Hoàng Giang","Kỹ Thuật","2026-08-02","10","Completed"
"NV005","Võ Hoàng Giang","Kỹ Thuật","2026-08-08","14","Completed"
"NV005","Võ Hoàng Giang","Kỹ Thuật","2026-08-15","6","Delayed"
"NV005","Võ Hoàng Giang","Kỹ Thuật","2026-08-23","11","Completed"
"NV006","Đỗ Thị Hạnh","Kỹ Thuật","2026-08-03","9","Completed"
"NV006","Đỗ Thị Hạnh","Kỹ Thuật","2026-08-09","12","Delayed"
"NV006","Đỗ Thị Hạnh","Kỹ Thuật","2026-08-17","7","Delayed"
"NV006","Đỗ Thị Hạnh","Kỹ Thuật","2026-08-26","14","Completed"
