"Employee_ID","Employee_Name","Manager","Department","Base_Salary","Bonus","Penalty","Net_Payout","Month"
"E001","Employee_1","Manager_B","Operations","29672904","4117307","939890","32850321","2026-03"
"E004","Employee_4","Manager_C","Operations","26467972","2774878","737800","28505050","2026-03"
"E023","Employee_23","Manager_C","Operations","10388396","1958100","1937581","10408915","2026-03"
"E027","Employee_27","Manager_C","Operations","12172616","3931723","1444262","14660077","2026-03"
"E028","Employee_28","Manager_C","Operations","17135066","4198264","1132423","20200907","2026-03"
"E029","Employee_29","Manager_D","Operations","10699180","334376","1865254","9168302","2026-03"
"E033","Employee_33","Manager_B","Operations","25413536","3709689","1921143","27202082","2026-03"
"E037","Employee_37","Manager_D","Operations","17670984","3359236","1706171","19324049","2026-03"
"E038","Employee_38","Manager_A","Operations","10954796","2638361","529318","13063839","2026-03"
"E040","Employee_40","Manager_A","Operations","21866287","454696","393389","21927594","2026-03"
"E041","Employee_41","Manager_C","Operations","28985235","3708108","1593815","31099528","2026-03"
"E043","Employee_43","Manager_C","Operations","24264229","1018595","60543","25222281","2026-03"
"E047","Employee_47","Manager_C","Operations","24189999","3961266","511140","27640125","2026-03"
"E055","Employee_55","Manager_D","Operations","20954653","1275951","1038779","21191825","2026-03"
"E057","Employee_57","Manager_A","Operations","11345769","4411997","1909334","13848432","2026-03"
"E061","Employee_61","Manager_C","Operations","26153485","301143","1294906","25159722","2026-03"
"E063","Employee_63","Manager_A","Operations","11303203","843115","930461","11215857","2026-03"
"E069","Employee_69","Manager_B","Operations","29404527","2130516","963789","30571254","2026-03"
"E072","Employee_72","Manager_C","Operations","16391903","3832216","1772730","18451389","2026-03"
"E074","Employee_74","Manager_B","Operations","27190541","3011167","1205467","28996241","2026-03"
"E086","Employee_86","Manager_A","Operations","20367682","2199169","1225911","21340940","2026-03"
"E089","Employee_89","Manager_A","Operations","18139819","3425033","244687","21320165","2026-03"
"E092","Employee_92","Manager_D","Operations","20449080","4531463","878972","24101571","2026-03"
"E093","Employee_93","Manager_B","Operations","29975532","830653","1748381","29057804","2026-03"
"E094","Employee_94","Manager_D","Operations","17386521","274444","1447623","16213342","2026-03"
"E098","Employee_98","Manager_A","Operations","11076049","1779272","1345751","11509570","2026-03"
"E109","Employee_109","Manager_D","Operations","22303369","905649","1028168","22180850","2026-03"
"E112","Employee_112","Manager_C","Operations","28045144","4450633","618445","31877332","2026-03"
"E113","Employee_113","Manager_D","Operations","11327876","959774","1788435","10499215","2026-03"
"E114","Employee_114","Manager_B","Operations","23151668","1916743","867829","24200582","2026-03"
"E115","Employee_115","Manager_C","Operations","21379164","3489574","1530108","23338630","2026-03"
"E127","Employee_127","Manager_B","Operations","10334899","1190130","1553924","9971105","2026-03"
"E129","Employee_129","Manager_D","Operations","19438571","1320444","776057","19982958","2026-03"
"E133","Employee_133","Manager_D","Operations","17165958","1808323","1583230","17391051","2026-03"
"E139","Employee_139","Manager_B","Operations","25870498","1930308","1049126","26751680","2026-03"
"E141","Employee_141","Manager_A","Operations","10612635","2626142","1207454","12031323","2026-03"
"E142","Employee_142","Manager_D","Operations","29479590","3503870","607157","32376303","2026-03"
"E143","Employee_143","Manager_A","Operations","8699829","2724352","360444","11063737","2026-03"
"E146","Employee_146","Manager_A","Operations","18411086","2848043","464670","20794459","2026-03"
"E157","Employee_157","Manager_A","Operations","23526026","4868155","1162485","27231696","2026-03"
"E158","Employee_158","Manager_A","Operations","27181615","1579067","674290","28086392","2026-03"
"E161","Employee_161","Manager_B","Operations","22744548","4396205","1096282","26044471","2026-03"
"E174","Employee_174","Manager_B","Operations","9466074","3446531","763991","12148614","2026-03"
"E175","Employee_175","Manager_B","Operations","28488182","2390148","1577878","29300452","2026-03"
"E183","Employee_183","Manager_B","Operations","11077396","1862589","1712750","11227235","2026-03"
"E188","Employee_188","Manager_C","Operations","12657109","3935180","940785","15651504","2026-03"
"E190","Employee_190","Manager_B","Operations","11730811","2416771","498367","13649215","2026-03"
"E196","Employee_196","Manager_A","Operations","23775115","365193","1333098","22807210","2026-03"
