"Employee_ID","Employee_Name","Manager","Department","Base_Salary","Bonus","Penalty","Net_Payout","Month"
"E002","Employee_2","Manager_A","Sales","17872907","1858885","848090","18883702","2026-03"
"E008","Employee_8","Manager_C","Sales","14513505","2485095","477066","16521534","2026-03"
"E014","Employee_14","Manager_D","Sales","10192561","3361377","1031267","12522671","2026-03"
"E015","Employee_15","Manager_A","Sales","13091113","1251560","1701088","12641585","2026-03"
"E016","Employee_16","Manager_C","Sales","16327906","993643","1170363","16151186","2026-03"
"E019","Employee_19","Manager_A","Sales","14972205","1770207","555003","16187409","2026-03"
"E035","Employee_35","Manager_D","Sales","23770931","2918908","856368","25833471","2026-03"
"E039","Employee_39","Manager_C","Sales","21561864","4316746","1729997","24148613","2026-03"
"E045","Employee_45","Manager_D","Sales","15539702","951780","967726","15523756","2026-03"
"E049","Employee_49","Manager_B","Sales","17269324","3480789","712770","20037343","2026-03"
"E050","Employee_50","Manager_C","Sales","17490501","2504467","1756314","18238654","2026-03"
"E058","Employee_58","Manager_D","Sales","12837053","3439149","1826478","14449724","2026-03"
"E059","Employee_59","Manager_B","Sales","23753490","2223172","710014","25266648","2026-03"
"E060","Employee_60","Manager_D","Sales","19024831","4476348","796937","22704242","2026-03"
"E070","Employee_70","Manager_C","Sales","23611308","2412829","1421053","24603084","2026-03"
"E071","Employee_71","Manager_B","Sales","22821991","2898814","1232227","24488578","2026-03"
"E076","Employee_76","Manager_A","Sales","28347625","4166850","1746589","30767886","2026-03"
"E085","Employee_85","Manager_C","Sales","21239725","116758","554609","20801874","2026-03"
"E090","Employee_90","Manager_B","Sales","9248631","2553195","1033108","10768718","2026-03"
"E091","Employee_91","Manager_A","Sales","15878581","4509267","284508","20103340","2026-03"
"E097","Employee_97","Manager_C","Sales","21359349","2314261","398057","23275553","2026-03"
"E099","Employee_99","Manager_A","Sales","19190710","2043203","264081","20969832","2026-03"
"E100","Employee_100","Manager_B","Sales","26596127","1737761","1229734","27104154","2026-03"
"E106","Employee_106","Manager_D","Sales","10132653","3995040","940101","13187592","2026-03"
"E107","Employee_107","Manager_C","Sales","23166785","4226505","464623","26928667","2026-03"
"E110","Employee_110","Manager_D","Sales","10710878","2702069","1275692","12137255","2026-03"
"E111","Employee_111","Manager_B","Sales","12234287","2307001","1309288","13232000","2026-03"
"E118","Employee_118","Manager_A","Sales","11128283","3622842","202510","14548615","2026-03"
"E120","Employee_120","Manager_C","Sales","21784450","2966195","1832087","22918558","2026-03"
"E121","Employee_121","Manager_D","Sales","17651241","2621011","737455","19534797","2026-03"
"E128","Employee_128","Manager_A","Sales","25800045","1804665","788936","26815774","2026-03"
"E136","Employee_136","Manager_A","Sales","14859301","2528488","1982488","15405301","2026-03"
"E138","Employee_138","Manager_A","Sales","24689482","3612596","368458","27933620","2026-03"
"E140","Employee_140","Manager_C","Sales","21323497","354857","914818","20763536","2026-03"
"E153","Employee_153","Manager_D","Sales","23734380","3709510","1324110","26119780","2026-03"
"E160","Employee_160","Manager_C","Sales","24929855","1447529","82086","26295298","2026-03"
"E164","Employee_164","Manager_C","Sales","19062586","792773","1170133","18685226","2026-03"
"E172","Employee_172","Manager_A","Sales","19299937","1099319","1252516","19146740","2026-03"
"E180","Employee_180","Manager_C","Sales","29514398","4031486","1833156","31712728","2026-03"
"E181","Employee_181","Manager_C","Sales","25311046","1045872","597820","25759098","2026-03"
"E189","Employee_189","Manager_A","Sales","8637664","2146845","452260","10332249","2026-03"
"E191","Employee_191","Manager_C","Sales","9602205","2000175","880437","10721943","2026-03"
"E192","Employee_192","Manager_D","Sales","11719773","4192871","1251452","14661192","2026-03"
"E195","Employee_195","Manager_B","Sales","25565226","3024963","141933","28448256","2026-03"
