"employee_id","employee_name","department","record_date","output_units","task_status"
"NV007","Bùi Quang Huy","Vận Hành","2026-08-01","45","Completed"
"NV007","Bùi Quang Huy","Vận Hành","2026-08-07","52","Completed"
"NV007","Bùi Quang Huy","Vận Hành","2026-08-13","60","Completed"
"NV007","Bùi Quang Huy","Vận Hành","2026-08-21","48","Completed"
"NV007","Bùi Quang Huy","Vận Hành","2026-08-29","55","Completed"
"NV008","Hoàng Kim Khánh","Vận Hành","2026-08-02","38","Completed"
"NV008","Hoàng Kim Khánh","Vận Hành","2026-08-08","42","Completed"
"NV008","Hoàng Kim Khánh","Vận Hành","2026-08-15","40","Completed"
"NV008","Hoàng Kim Khánh","Vận Hành","2026-08-22","35","Delayed"
"NV008","Hoàng Kim Khánh","Vận Hành","2026-08-30","44","Completed"
"NV009","Ngô Bảo Long","Vận Hành","2026-08-04","50","Completed"
"NV009","Ngô Bảo Long","Vận Hành","2026-08-11","55","Completed"
"NV009","Ngô Bảo Long","Vận Hành","2026-08-18","62","Completed"
"NV009","Ngô Bảo Long","Vận Hành","2026-08-25","58","Completed"
