"Employee_ID","Employee_Name","Manager","Department","Base_Salary","Bonus","Penalty","Net_Payout","Month"
"E002","Employee_2","Manager_A","Sales","17872907","1858885","848090","18883702","2026-03"
"E006","Employee_6","Manager_A","HR","18588032","1002897","1557934","18032995","2026-03"
"E012","Employee_12","Manager_A","Finance","23750347","4015745","923730","26842362","2026-03"
"E015","Employee_15","Manager_A","Sales","13091113","1251560","1701088","12641585","2026-03"
"E019","Employee_19","Manager_A","Sales","14972205","1770207","555003","16187409","2026-03"
"E020","Employee_20","Manager_A","HR","16048539","1458053","1157611","16348981","2026-03"
"E021","Employee_21","Manager_A","HR","8089782","3426893","944774","10571901","2026-03"
"E026","Employee_26","Manager_A","HR","18321739","4991591","1570678","21742652","2026-03"
"E031","Employee_31","Manager_A","HR","27300479","4925144","1993943","30231680","2026-03"
"E032","Employee_32","Manager_A","Finance","27335640","337487","1600355","26072772","2026-03"
"E038","Employee_38","Manager_A","Operations","10954796","2638361","529318","13063839","2026-03"
"E040","Employee_40","Manager_A","Operations","21866287","454696","393389","21927594","2026-03"
"E042","Employee_42","Manager_A","HR","16960920","4607188","274754","21293354","2026-03"
"E046","Employee_46","Manager_A","HR","24722706","2448312","1067181","26103837","2026-03"
"E056","Employee_56","Manager_A","HR","24854094","4950792","696243","29108643","2026-03"
"E057","Employee_57","Manager_A","Operations","11345769","4411997","1909334","13848432","2026-03"
"E062","Employee_62","Manager_A","HR","29178249","2410709","477073","31111885","2026-03"
"E063","Employee_63","Manager_A","Operations","11303203","843115","930461","11215857","2026-03"
"E065","Employee_65","Manager_A","Finance","20028033","3144394","903215","22269212","2026-03"
"E076","Employee_76","Manager_A","Sales","28347625","4166850","1746589","30767886","2026-03"
"E079","Employee_79","Manager_A","Finance","22791571","279881","1215454","21855998","2026-03"
"E084","Employee_84","Manager_A","HR","15570372","3333729","1773654","17130447","2026-03"
"E086","Employee_86","Manager_A","Operations","20367682","2199169","1225911","21340940","2026-03"
"E088","Employee_88","Manager_A","Finance","28470961","1856962","1358225","28969698","2026-03"
"E089","Employee_89","Manager_A","Operations","18139819","3425033","244687","21320165","2026-03"
"E091","Employee_91","Manager_A","Sales","15878581","4509267","284508","20103340","2026-03"
"E098","Employee_98","Manager_A","Operations","11076049","1779272","1345751","11509570","2026-03"
"E099","Employee_99","Manager_A","Sales","19190710","2043203","264081","20969832","2026-03"
"E102","Employee_102","Manager_A","Finance","12854922","1090453","1132913","12812462","2026-03"
"E104","Employee_104","Manager_A","Finance","15983659","4939656","678997","20244318","2026-03"
"E105","Employee_105","Manager_A","HR","16904256","439554","265831","17077979","2026-03"
"E108","Employee_108","Manager_A","Finance","23369356","261310","127560","23503106","2026-03"
"E116","Employee_116","Manager_A","Finance","22319823","2621637","1394832","23546628","2026-03"
"E118","Employee_118","Manager_A","Sales","11128283","3622842","202510","14548615","2026-03"
"E122","Employee_122","Manager_A","HR","13191883","4044897","470275","16766505","2026-03"
"E123","Employee_123","Manager_A","Finance","26665172","3083325","240931","29507566","2026-03"
"E125","Employee_125","Manager_A","Finance","8971507","1513439","573089","9911857","2026-03"
"E128","Employee_128","Manager_A","Sales","25800045","1804665","788936","26815774","2026-03"
"E131","Employee_131","Manager_A","HR","13281799","417438","1413414","12285823","2026-03"
"E132","Employee_132","Manager_A","Finance","22868404","3556893","1018506","25406791","2026-03"
"E134","Employee_134","Manager_A","Finance","22425507","930210","594010","22761707","2026-03"
"E136","Employee_136","Manager_A","Sales","14859301","2528488","1982488","15405301","2026-03"
"E138","Employee_138","Manager_A","Sales","24689482","3612596","368458","27933620","2026-03"
"E141","Employee_141","Manager_A","Operations","10612635","2626142","1207454","12031323","2026-03"
"E143","Employee_143","Manager_A","Operations","8699829","2724352","360444","11063737","2026-03"
"E145","Employee_145","Manager_A","HR","22618878","4939810","839804","26718884","2026-03"
"E146","Employee_146","Manager_A","Operations","18411086","2848043","464670","20794459","2026-03"
"E148","Employee_148","Manager_A","HR","19723088","2945238","1525424","21142902","2026-03"
"E151","Employee_151","Manager_A","HR","29070464","4144954","972980","32242438","2026-03"
"E155","Employee_155","Manager_A","Finance","23493506","3790928","78868","27205566","2026-03"
"E156","Employee_156","Manager_A","Finance","17632706","643666","1351963","16924409","2026-03"
"E157","Employee_157","Manager_A","Operations","23526026","4868155","1162485","27231696","2026-03"
"E158","Employee_158","Manager_A","Operations","27181615","1579067","674290","28086392","2026-03"
"E166","Employee_166","Manager_A","HR","19738037","2602412","1375846","20964603","2026-03"
"E172","Employee_172","Manager_A","Sales","19299937","1099319","1252516","19146740","2026-03"
"E182","Employee_182","Manager_A","HR","17153357","3769162","1898564","19023955","2026-03"
"E187","Employee_187","Manager_A","Finance","12900601","1154269","80327","13974543","2026-03"
"E189","Employee_189","Manager_A","Sales","8637664","2146845","452260","10332249","2026-03"
"E193","Employee_193","Manager_A","HR","12817639","2443366","900179","14360826","2026-03"
"E194","Employee_194","Manager_A","Finance","16071996","4787074","873605","19985465","2026-03"
"E196","Employee_196","Manager_A","Operations","23775115","365193","1333098","22807210","2026-03"
"E198","Employee_198","Manager_A","Finance","16090843","869595","1617955","15342483","2026-03"
