"Employee_ID","Employee_Name","Manager","Department","Base_Salary","Bonus","Penalty","Net_Payout","Month"
"E001","Employee_1","Manager_B","Operations","29672904","4117307","939890","32850321","2026-03"
"E003","Employee_3","Manager_B","Finance","27513767","3095567","992499","29616835","2026-03"
"E007","Employee_7","Manager_B","HR","15260663","4061752","579861","18742554","2026-03"
"E010","Employee_10","Manager_B","Finance","9527253","457397","1160477","8824173","2026-03"
"E025","Employee_25","Manager_B","HR","16913146","1193164","149757","17956553","2026-03"
"E033","Employee_33","Manager_B","Operations","25413536","3709689","1921143","27202082","2026-03"
"E044","Employee_44","Manager_B","HR","18427044","4620772","28677","23019139","2026-03"
"E049","Employee_49","Manager_B","Sales","17269324","3480789","712770","20037343","2026-03"
"E059","Employee_59","Manager_B","Sales","23753490","2223172","710014","25266648","2026-03"
"E064","Employee_64","Manager_B","Finance","8971308","385800","680262","8676846","2026-03"
"E066","Employee_66","Manager_B","HR","25822984","3456540","1186837","28092687","2026-03"
"E067","Employee_67","Manager_B","HR","13874352","662434","1278196","13258590","2026-03"
"E069","Employee_69","Manager_B","Operations","29404527","2130516","963789","30571254","2026-03"
"E071","Employee_71","Manager_B","Sales","22821991","2898814","1232227","24488578","2026-03"
"E074","Employee_74","Manager_B","Operations","27190541","3011167","1205467","28996241","2026-03"
"E078","Employee_78","Manager_B","Finance","12589549","815070","1894574","11510045","2026-03"
"E090","Employee_90","Manager_B","Sales","9248631","2553195","1033108","10768718","2026-03"
"E093","Employee_93","Manager_B","Operations","29975532","830653","1748381","29057804","2026-03"
"E096","Employee_96","Manager_B","Finance","11333787","3081428","1141827","13273388","2026-03"
"E100","Employee_100","Manager_B","Sales","26596127","1737761","1229734","27104154","2026-03"
"E101","Employee_101","Manager_B","HR","19024629","1237774","1653905","18608498","2026-03"
"E111","Employee_111","Manager_B","Sales","12234287","2307001","1309288","13232000","2026-03"
"E114","Employee_114","Manager_B","Operations","23151668","1916743","867829","24200582","2026-03"
"E127","Employee_127","Manager_B","Operations","10334899","1190130","1553924","9971105","2026-03"
"E137","Employee_137","Manager_B","HR","16573811","2428058","688122","18313747","2026-03"
"E139","Employee_139","Manager_B","Operations","25870498","1930308","1049126","26751680","2026-03"
"E149","Employee_149","Manager_B","HR","11449547","1228463","536804","12141206","2026-03"
"E150","Employee_150","Manager_B","HR","28213155","1282364","1594287","27901232","2026-03"
"E161","Employee_161","Manager_B","Operations","22744548","4396205","1096282","26044471","2026-03"
"E162","Employee_162","Manager_B","Finance","20510836","2373083","812471","22071448","2026-03"
"E170","Employee_170","Manager_B","HR","19466634","4079136","402664","23143106","2026-03"
"E171","Employee_171","Manager_B","HR","13199097","647307","620320","13226084","2026-03"
"E174","Employee_174","Manager_B","Operations","9466074","3446531","763991","12148614","2026-03"
"E175","Employee_175","Manager_B","Operations","28488182","2390148","1577878","29300452","2026-03"
"E183","Employee_183","Manager_B","Operations","11077396","1862589","1712750","11227235","2026-03"
"E190","Employee_190","Manager_B","Operations","11730811","2416771","498367","13649215","2026-03"
"E195","Employee_195","Manager_B","Sales","25565226","3024963","141933","28448256","2026-03"
