"Employee_ID","Employee_Name","Manager","Department","Base_Salary","Bonus","Penalty","Net_Payout","Month"
"E004","Employee_4","Manager_C","Operations","26467972","2774878","737800","28505050","2026-03"
"E008","Employee_8","Manager_C","Sales","14513505","2485095","477066","16521534","2026-03"
"E009","Employee_9","Manager_C","HR","18142417","118685","1484822","16776280","2026-03"
"E011","Employee_11","Manager_C","HR","29403353","4117788","215141","33306000","2026-03"
"E013","Employee_13","Manager_C","HR","9723916","2117942","1973553","9868305","2026-03"
"E016","Employee_16","Manager_C","Sales","16327906","993643","1170363","16151186","2026-03"
"E023","Employee_23","Manager_C","Operations","10388396","1958100","1937581","10408915","2026-03"
"E024","Employee_24","Manager_C","HR","22265296","962813","1142030","22086079","2026-03"
"E027","Employee_27","Manager_C","Operations","12172616","3931723","1444262","14660077","2026-03"
"E028","Employee_28","Manager_C","Operations","17135066","4198264","1132423","20200907","2026-03"
"E034","Employee_34","Manager_C","HR","27640403","3656468","1331240","29965631","2026-03"
"E036","Employee_36","Manager_C","Finance","11509789","1349096","691648","12167237","2026-03"
"E039","Employee_39","Manager_C","Sales","21561864","4316746","1729997","24148613","2026-03"
"E041","Employee_41","Manager_C","Operations","28985235","3708108","1593815","31099528","2026-03"
"E043","Employee_43","Manager_C","Operations","24264229","1018595","60543","25222281","2026-03"
"E047","Employee_47","Manager_C","Operations","24189999","3961266","511140","27640125","2026-03"
"E050","Employee_50","Manager_C","Sales","17490501","2504467","1756314","18238654","2026-03"
"E052","Employee_52","Manager_C","Finance","26519275","4558621","791066","30286830","2026-03"
"E061","Employee_61","Manager_C","Operations","26153485","301143","1294906","25159722","2026-03"
"E070","Employee_70","Manager_C","Sales","23611308","2412829","1421053","24603084","2026-03"
"E072","Employee_72","Manager_C","Operations","16391903","3832216","1772730","18451389","2026-03"
"E073","Employee_73","Manager_C","HR","20908163","4053443","223668","24737938","2026-03"
"E075","Employee_75","Manager_C","Finance","8736170","3320259","575627","11480802","2026-03"
"E077","Employee_77","Manager_C","HR","28369721","2955482","459285","30865918","2026-03"
"E080","Employee_80","Manager_C","HR","11024374","2475565","685179","12814760","2026-03"
"E082","Employee_82","Manager_C","Finance","13521194","2155621","1916899","13759916","2026-03"
"E085","Employee_85","Manager_C","Sales","21239725","116758","554609","20801874","2026-03"
"E095","Employee_95","Manager_C","HR","22877467","3730379","1993458","24614388","2026-03"
"E097","Employee_97","Manager_C","Sales","21359349","2314261","398057","23275553","2026-03"
"E103","Employee_103","Manager_C","HR","11688516","216259","276411","11628364","2026-03"
"E107","Employee_107","Manager_C","Sales","23166785","4226505","464623","26928667","2026-03"
"E112","Employee_112","Manager_C","Operations","28045144","4450633","618445","31877332","2026-03"
"E115","Employee_115","Manager_C","Operations","21379164","3489574","1530108","23338630","2026-03"
"E117","Employee_117","Manager_C","Finance","13121712","3978447","140788","16959371","2026-03"
"E119","Employee_119","Manager_C","HR","26668704","503156","1229906","25941954","2026-03"
"E120","Employee_120","Manager_C","Sales","21784450","2966195","1832087","22918558","2026-03"
"E124","Employee_124","Manager_C","HR","22398623","4705721","1609422","25494922","2026-03"
"E126","Employee_126","Manager_C","Finance","19778391","51219","380435","19449175","2026-03"
"E130","Employee_130","Manager_C","Finance","27045279","712671","1852502","25905448","2026-03"
"E140","Employee_140","Manager_C","Sales","21323497","354857","914818","20763536","2026-03"
"E147","Employee_147","Manager_C","HR","10562866","4282244","1327968","13517142","2026-03"
"E154","Employee_154","Manager_C","Finance","27844754","471205","738076","27577883","2026-03"
"E160","Employee_160","Manager_C","Sales","24929855","1447529","82086","26295298","2026-03"
"E164","Employee_164","Manager_C","Sales","19062586","792773","1170133","18685226","2026-03"
"E180","Employee_180","Manager_C","Sales","29514398","4031486","1833156","31712728","2026-03"
"E181","Employee_181","Manager_C","Sales","25311046","1045872","597820","25759098","2026-03"
"E186","Employee_186","Manager_C","HR","8945817","2673322","1952083","9667056","2026-03"
"E188","Employee_188","Manager_C","Operations","12657109","3935180","940785","15651504","2026-03"
"E191","Employee_191","Manager_C","Sales","9602205","2000175","880437","10721943","2026-03"
"E199","Employee_199","Manager_C","HR","9487658","2955298","1145073","11297883","2026-03"
"E200","Employee_200","Manager_C","HR","23590157","4014210","1324846","26279521","2026-03"
