"Employee_ID","Employee_Name","Manager","Department","Base_Salary","Bonus","Penalty","Net_Payout","Month"
"E005","Employee_5","Manager_D","Finance","18288560","2108926","483473","19914013","2026-03"
"E014","Employee_14","Manager_D","Sales","10192561","3361377","1031267","12522671","2026-03"
"E017","Employee_17","Manager_D","HR","25534624","3190842","944797","27780669","2026-03"
"E018","Employee_18","Manager_D","Finance","27747626","3597285","640428","30704483","2026-03"
"E022","Employee_22","Manager_D","Finance","9095211","1941763","604199","10432775","2026-03"
"E029","Employee_29","Manager_D","Operations","10699180","334376","1865254","9168302","2026-03"
"E030","Employee_30","Manager_D","Finance","28257268","2100238","54242","30303264","2026-03"
"E035","Employee_35","Manager_D","Sales","23770931","2918908","856368","25833471","2026-03"
"E037","Employee_37","Manager_D","Operations","17670984","3359236","1706171","19324049","2026-03"
"E045","Employee_45","Manager_D","Sales","15539702","951780","967726","15523756","2026-03"
"E048","Employee_48","Manager_D","HR","20871010","1598955","1933297","20536668","2026-03"
"E051","Employee_51","Manager_D","HR","22983644","4517941","1015737","26485848","2026-03"
"E053","Employee_53","Manager_D","Finance","14330123","2003246","1199146","15134223","2026-03"
"E054","Employee_54","Manager_D","HR","21783325","366140","667264","21482201","2026-03"
"E055","Employee_55","Manager_D","Operations","20954653","1275951","1038779","21191825","2026-03"
"E058","Employee_58","Manager_D","Sales","12837053","3439149","1826478","14449724","2026-03"
"E060","Employee_60","Manager_D","Sales","19024831","4476348","796937","22704242","2026-03"
"E068","Employee_68","Manager_D","HR","24698941","4891876","300139","29290678","2026-03"
"E081","Employee_81","Manager_D","HR","14737555","1108636","1649436","14196755","2026-03"
"E083","Employee_83","Manager_D","Finance","19365397","966113","982162","19349348","2026-03"
"E087","Employee_87","Manager_D","Finance","11635491","1961440","988758","12608173","2026-03"
"E092","Employee_92","Manager_D","Operations","20449080","4531463","878972","24101571","2026-03"
"E094","Employee_94","Manager_D","Operations","17386521","274444","1447623","16213342","2026-03"
"E106","Employee_106","Manager_D","Sales","10132653","3995040","940101","13187592","2026-03"
"E109","Employee_109","Manager_D","Operations","22303369","905649","1028168","22180850","2026-03"
"E110","Employee_110","Manager_D","Sales","10710878","2702069","1275692","12137255","2026-03"
"E113","Employee_113","Manager_D","Operations","11327876","959774","1788435","10499215","2026-03"
"E121","Employee_121","Manager_D","Sales","17651241","2621011","737455","19534797","2026-03"
"E129","Employee_129","Manager_D","Operations","19438571","1320444","776057","19982958","2026-03"
"E133","Employee_133","Manager_D","Operations","17165958","1808323","1583230","17391051","2026-03"
"E135","Employee_135","Manager_D","Finance","9523953","1849842","828927","10544868","2026-03"
"E142","Employee_142","Manager_D","Operations","29479590","3503870","607157","32376303","2026-03"
"E144","Employee_144","Manager_D","Finance","10957148","3663403","1771012","12849539","2026-03"
"E152","Employee_152","Manager_D","Finance","29045923","2651965","316580","31381308","2026-03"
"E153","Employee_153","Manager_D","Sales","23734380","3709510","1324110","26119780","2026-03"
"E159","Employee_159","Manager_D","HR","10076136","3779261","217059","13638338","2026-03"
"E163","Employee_163","Manager_D","Finance","28061720","439273","1655128","26845865","2026-03"
"E165","Employee_165","Manager_D","Finance","16455575","1261422","699110","17017887","2026-03"
"E167","Employee_167","Manager_D","HR","27966270","710674","649240","28027704","2026-03"
"E168","Employee_168","Manager_D","Finance","12288047","4415707","195985","16507769","2026-03"
"E169","Employee_169","Manager_D","Finance","8611715","3041689","647739","11005665","2026-03"
"E173","Employee_173","Manager_D","HR","13444113","1517045","1743456","13217702","2026-03"
"E176","Employee_176","Manager_D","HR","25918440","2006290","649001","27275729","2026-03"
"E177","Employee_177","Manager_D","HR","20342694","4785024","923999","24203719","2026-03"
"E178","Employee_178","Manager_D","Finance","20813512","4218687","1106163","23926036","2026-03"
"E179","Employee_179","Manager_D","HR","14700743","1160971","1830817","14030897","2026-03"
"E184","Employee_184","Manager_D","Finance","8894903","3480407","111687","12263623","2026-03"
"E185","Employee_185","Manager_D","Finance","15911399","3239396","171139","18979656","2026-03"
"E192","Employee_192","Manager_D","Sales","11719773","4192871","1251452","14661192","2026-03"
"E197","Employee_197","Manager_D","Finance","16511090","136249","748880","15898459","2026-03"
