"Employee_ID","Employee_Name","Manager","Department","Base_Salary","Bonus","Penalty","Month"
"E001","Employee_1","Manager_B","Operations","2.9672904E7","4117307.0","939890.0","2026-03"
"E002","Employee_2","Manager_A","Sales","1.7872907E7","1858885.0","848090.0","2026-03"
"E003","Employee_3","Manager_B","Finance","2.7513767E7","3095567.0","992499.0","2026-03"
"E004","Employee_4","Manager_C","Operations","2.6467972E7","2774878.0","737800.0","2026-03"
"E005","Employee_5","Manager_D","Finance","1.828856E7","2108926.0","483473.0","2026-03"
"E006","Employee_6","Manager_A","HR","1.8588032E7","1002897.0","1557934.0","2026-03"
"E007","Employee_7","Manager_B","HR","1.5260663E7","4061752.0","579861.0","2026-03"
"E008","Employee_8","Manager_C","Sales","1.4513505E7","2485095.0","477066.0","2026-03"
"E009","Employee_9","Manager_C","HR","1.8142417E7","118685.0","1484822.0","2026-03"
"E010","Employee_10","Manager_B","Finance","9527253.0","457397.0","1160477.0","2026-03"
"E011","Employee_11","Manager_C","HR","2.9403353E7","4117788.0","215141.0","2026-03"
"E012","Employee_12","Manager_A","Finance","2.3750347E7","4015745.0","923730.0","2026-03"
"E013","Employee_13","Manager_C","HR","9723916.0","2117942.0","1973553.0","2026-03"
"E014","Employee_14","Manager_D","Sales","1.0192561E7","3361377.0","1031267.0","2026-03"
"E015","Employee_15","Manager_A","Sales","1.3091113E7","1251560.0","1701088.0","2026-03"
"E016","Employee_16","Manager_C","Sales","1.6327906E7","993643.0","1170363.0","2026-03"
"E017","Employee_17","Manager_D","HR","2.5534624E7","3190842.0","944797.0","2026-03"
"E018","Employee_18","Manager_D","Finance","2.7747626E7","3597285.0","640428.0","2026-03"
"E019","Employee_19","Manager_A","Sales","1.4972205E7","1770207.0","555003.0","2026-03"
"E020","Employee_20","Manager_A","HR","1.6048539E7","1458053.0","1157611.0","2026-03"
"E021","Employee_21","Manager_A","HR","8089782.0","3426893.0","944774.0","2026-03"
"E022","Employee_22","Manager_D","Finance","9095211.0","1941763.0","604199.0","2026-03"
"E023","Employee_23","Manager_C","Operations","1.0388396E7","1958100.0","1937581.0","2026-03"
